school_year,metric,category,value,unit,basis,confidence,source,url,locator,note
2006-07,Hartford students in NEW host magnets (2003 stipulation),magnets_choice,2006,students,Hartford-resident students,medium,A Decade and Then Some: The First Ten Years of Sheff v. O'Neill Implementation (Sheff plaintiffs),https://clearinghouse-umich-production.s3.amazonaws.com/media/doc/92577.pdf,new magnet enrolment goal-vs-actual chart,"SUBSET ONLY -- counts seats in magnets opened under the 2003 order, not all Hartford magnet enrolment. Do not treat as a magnet total."
2008-09,Sheff standard / target definition,definition,25-75% minority (non-white) permitted for a magnet to count as reduced-isolation,text,n/a,high,"Reduced Isolation: An Examination of Integration in Magnet and Charter Schools, Cities Suburbs & Schools Project, Trinity College (2015)",https://commons.trincoll.edu/cssp/2015/05/03/reduced-isolation/,The Sheff Standard: Old and New,"Phase II stipulation, 4 Apr 2008."
2011-12,Magnet schools meeting Sheff desegregation standard,context,41 of 63 magnets compliant (66%),text,Hartford-region magnets,medium,"Reduced Isolation: An Examination of Integration in Magnet and Charter Schools, Cities Suburbs & Schools Project, Trinity College (2015)",https://commons.trincoll.edu/cssp/2015/05/03/reduced-isolation/,tables 1-2,old definition
2012-13,Share of Hartford minority students in reduced-isolation settings,integration_rate,37,percent,Hartford-resident minority students,low,"Quick, K. (2016) Hartford Public Schools: Striving for Equity through Interdistrict Programs, Century Foundation",https://tcf.org/content/report/hartford-public-schools/,secondary summary,"From a search summary of the litigation record, not read in the primary document. VERIFY."
2013-14,Magnet schools meeting Sheff desegregation standard,context,52 of 63 magnets compliant (83%),text,Hartford-region magnets,medium,"Reduced Isolation: An Examination of Integration in Magnet and Charter Schools, Cities Suburbs & Schools Project, Trinity College (2015)",https://commons.trincoll.edu/cssp/2015/05/03/reduced-isolation/,tables 1-2,new definition; 18 would fail under old
2013-14,Sheff standard / target definition,definition,"25-75%, but 'minority' redefined to Black and Hispanic only",text,n/a,high,"Reduced Isolation: An Examination of Integration in Magnet and Charter Schools, Cities Suburbs & Schools Project, Trinity College (2015)",https://commons.trincoll.edu/cssp/2015/05/03/reduced-isolation/,The Sheff Standard: Old and New,"Phase III stipulation, 13 Dec 2013. Redefinition alone moved 8 magnets into compliance with no change in enrolment -- any rate series spanning 2013 has a definitional break."
2013-14,Sheff standard / target definition,definition,target: >=44% of Hartford-resident minority students in reduced isolation,text,n/a,high,"Reduced Isolation: An Examination of Integration in Magnet and Charter Schools, Cities Suburbs & Schools Project, Trinity College (2015)",https://commons.trincoll.edu/cssp/2015/05/03/reduced-isolation/,The Sheff Standard: Old and New,Phase III stipulation.
2014-15,Magnet schools meeting Sheff desegregation standard,context,40 of 45 magnets compliant (89%),text,Hartford-region magnets,medium,"Reduced Isolation: An Examination of Integration in Magnet and Charter Schools, Cities Suburbs & Schools Project, Trinity College (2015)",https://commons.trincoll.edu/cssp/2015/05/03/reduced-isolation/,tables 1-2,new definition
2014-15,Share of Hartford minority students in reduced-isolation settings,integration_rate,44.5,percent,Hartford-resident minority students,high,"Quick, K. (2016) Hartford Public Schools: Striving for Equity through Interdistrict Programs, Century Foundation",https://tcf.org/content/report/hartford-public-schools/,Expansion of Access section,"Computed from the stated 9,558 of 21,458 Hartford minority students. Note 47.5% also circulates for this year but that is the Phase IV GOAL, not the actual."
2014-15,Hartford minority students in integrated settings,magnets_choice,9558,students,Hartford-resident minority students,high,"Quick, K. (2016) Hartford Public Schools: Striving for Equity through Interdistrict Programs, Century Foundation",https://tcf.org/content/report/hartford-public-schools/,Expansion of Access section,"Denominator given as 21,458 Hartford minority students -- itself a useful resident-total anchor."
2014-15,"Hartford minority students, total",total,21458,students,Hartford-resident minority students,high,"Quick, K. (2016) Hartford Public Schools: Striving for Equity through Interdistrict Programs, Century Foundation",https://tcf.org/content/report/hartford-public-schools/,Expansion of Access section,"Compare with EdSight all-resident total of 23,259 in 2016-17. Minority-only, so slightly below the all-student total."
2015-16,Sheff standard / target definition,definition,target: >=47.5%,text,n/a,high,"Reduced Isolation: An Examination of Integration in Magnet and Charter Schools, Cities Suburbs & Schools Project, Trinity College (2015)",https://commons.trincoll.edu/cssp/2015/05/03/reduced-isolation/,The Sheff Standard: Old and New,"Phase IV stipulation, 23 Feb 2015. Frequently misquoted as an actual."
2015-16,Share of Hartford minority students in reduced-isolation settings,integration_rate,45.5,percent,Hartford-resident minority students,medium,"Quick, K. (2016) Hartford Public Schools: Striving for Equity through Interdistrict Programs, Century Foundation",https://tcf.org/content/report/hartford-public-schools/,Expansion of Access section,"Described as projected for 2016, sourced to Orfield & Ee (UCLA, 2015)."
2015-16,Hartford residents in integrated settings,magnets_choice,9108,students,Hartford-resident students,low,Secondary summary of CT SDE / Sheff reporting,https://tcf.org/content/report/hartford-public-schools/,search summary,"VERIFY in primary source. Sits just below the 2014-15 figure of 9,558, which is counter-trend and may indicate a different basis."
2016-17,Magnets & choice programs,magnets_choice,11533,students,Hartford-resident students,high,"CT SDE EdSight, Resident Town enrollment export",https://public-edsight.ct.gov/overview/resident-town-dashboard/resident-town-export,Resident Town export,Measured. Magnets+choice = 49.6% of all residents this year.
2016-17,All Hartford residents,total,23259,students,Hartford-resident students,high,"CT SDE EdSight, Resident Town enrollment export",https://public-edsight.ct.gov/overview/resident-town-dashboard/resident-town-export,Resident Town export,Measured.
2016-17,Traditional public schools,traditional,11096,students,Hartford-resident students,high,"CT SDE EdSight, Resident Town enrollment export",https://public-edsight.ct.gov/overview/resident-town-dashboard/resident-town-export,Resident Town export,Measured.
2016-17,Vo-tech (CTECS),vo_tech,630,students,Hartford-resident students,high,"CT SDE EdSight, Resident Town enrollment export",https://public-edsight.ct.gov/overview/resident-town-dashboard/resident-town-export,Resident Town export,Measured.
2024-25,Magnets & choice programs,magnets_choice,13002,students,Hartford-resident students,high,"CT SDE EdSight, Resident Town enrollment export",https://public-edsight.ct.gov/overview/resident-town-dashboard/resident-town-export,Resident Town export,Measured. Magnets+choice = 61.4% of all residents this year.
2024-25,All Hartford residents,total,21191,students,Hartford-resident students,high,"CT SDE EdSight, Resident Town enrollment export",https://public-edsight.ct.gov/overview/resident-town-dashboard/resident-town-export,Resident Town export,Measured.
2024-25,Traditional public schools,traditional,7579,students,Hartford-resident students,high,"CT SDE EdSight, Resident Town enrollment export",https://public-edsight.ct.gov/overview/resident-town-dashboard/resident-town-export,Resident Town export,Measured.
2024-25,Vo-tech (CTECS),vo_tech,610,students,Hartford-resident students,high,"CT SDE EdSight, Resident Town enrollment export",https://public-edsight.ct.gov/overview/resident-town-dashboard/resident-town-export,Resident Town export,Measured.
